LOCALIDAD,DIRECCION
Neuquen,Alderete 520
Neuquen,Ruta 22 Km. 1231
Neuquen,Av. Eva Peron 57
Neuquen,Rudecindo Roca 646
Neuquen,Ruta 231 Km. 15
Neuquen,Ruta 22 Km. 1260
Rio Negro,Roca 146
Rio Negro,Primeros Pobladores 8412
Neuquen,Campamento Elflein 915
Rio Negro,Misiones 1288
Neuquen,Alderete 520
Chubut,Av. Sarmiento Esquina 25 de Mayo 
Neuquen,Elftein 978
Rio Negro,Laprida 371
Rio Negro,Alsina 767
Santa Cruz,25 de Mayo 475
Santa Cruz,Hipolito Yrigoyen 2360
Santa Cruz,Roca 1395 
Usuhuaia,25 de Mayo 250 
Buenos Aires,Las Heras 874
La Rioja,H Yrigoyen 370
Neuquen,Av. Ezequiel Bustillo Km. 9.5
Chubut,San Martin 787
Buenos Aires,Belgrano 984
Buenos Aires,Belgrano 743
Buenos Aires,Chacabuco 1360
Neuquen,Av. Belgrano 267 3° H
Chubut,RUTA NACIONAL 3 KM 2765 
Buenos Aires,Av. San Martin 83
Buenos Aires,25 de Mayo 619
Buenos Aires,Irigoyen 518
Buenos Aires,Av. Fundadores al 200 Colonia Hinojo
Buenos Aires,Parador Norte Ruta Nacional 3 KM 1443
Buenos Aires,Av. Los Halcones 1585
Buenos Aires,"Ruta Nacional 22  KM 1216,5 "
Neuquen,Av. Comandante Luis Piedrabuena KM 1638 (ex RUTA 237)
Usuhuaia,Maipú 660 
Usuhuaia,Ruta Nacional 3 KM 2949 
Usuhuaia,Ruta 3 KM 2836
Buenos Aires,Av. Manuel Venancio Paz 1427
Buenos Aires,Luis María Drago 1900
Chubut,Pasaje San Juan 840
Chubut,San Martin 1237
Chubut,Ciudad de Nefyn 64
Chubut,Ingreso al Pto. de Caleta Olivia
Chubut,Paradello 207 
Chubut,Av. España y Acceso al Puerto
Chubut,Panama 352
Buenos Aires,Boulevard Colon 1124
Buenos Aires,Boul Marcelino Ugarte 280
Buenos Aires,Dorrego 550
Buenos Aires,Necochea 69
Buenos Aires,Av. Gral. Benito Alvares 177
Buenos Aires,De la Nación 139/143
Buenos Aires,Bergantin 25 de Mayo esq. Jose Hernandez 
Santa Fe,Av. Belgrano y 27 de Febrero
Santa Fe,Salta 2609
Santa Fe,Pte. Roca 1015
Santa Fe,CAFERATA 1243
Santa Fe,España 1540
Santa Fe,B. 27 de Febrero 1925
Casilda,Ruta 33 km 738
Buenos Aires,Ruta Nacional 34 KM 159
Buenos Aires,Av. J.D. Peron Esq. 500 Millas Argentinas y Juan Lopez
Sunchales,Congreso 2172
Santa Fe ,Las Heras 2883
Santa Fe ,Gelabert 2964
Santa Fe ,Mendoza 2430
Santa Fe ,FRIDA SHUTZ DE MANTOVANI 1191
Santa Fe ,San Martin 2498
Santa Fe ,San Geronimo 2433
Entre Rios,Erenesto Bavio 233
Entre Rios,Racedo 500
Entre Rios,España 102
Entre Rios,Blas Parera 1699
Santa Fe,H. Yrigoyen 1540
Santa Fe,Av. España Esq. San Martin
Santa Fe,Pueyrredón 95
Chaco,Arturo Illia 486
Chaco,Catamarca 132/136
Chaco,Av. 25 de Mayo 1601
Córdoba,Pedro de Oñate 246 
Córdoba,Camino Real 2819 
Santiago del Estero,Juan Domingo Perón y Gorostiaga
Santiago del Estero,Corrientes 67
Santiago del Estero,Laprida 113
Santiago del Estero,Av. Roca 777
Santiago del Estero,Plata 380
Santiago del Estero,Ruta 9 Km. 1131
Santiago del Estero,Moreno Sur 275
Santiago del Estero,AV. COLON SUR 485
Santiago del Estero,TUCUMAN 254
Santiago del Estero,25 de Mayo 28
Santiago del Estero,Republica del Líbano 285
Santiago del Estero,R P 51 y Eva Peron
Santiago del Estero,9 de Julio y 25 de Mayo
Santiago del Estero,Chacabuco 256
Santiago del Estero,25 de Mayo 176
Santiago del Estero,Cabildo 148
Chaco,General Guemes y Almirante Brown
Salta,Guemes 202
Salta,Sarmiento y Las Carretas 
Salta,Alberdi 58
Salta,Guemes 431
Salta,23 de Agosto y 9 de Julio
Jujuy,Independencia 291
Jujuy,Curupayti 297
Jujuy,Senador Prez 187
Jujuy,Alvear 1243 (entre Patricias Argentinas y Ramirez Velazco)
Jujuy,Av. Ascasubi 290 Barrio Bajo La Viña
Jujuy,SALTA 1067
Jujuy,ALVEAR 86
Jujuy,Rivadavia 352
Jujuy,Buenos Aires 630
Jujuy,LAMADRID 555
Jujuy,Balcarce 138
Buenos Aires,Carmen de Areco
Buenos Aires,ESPAÑA 132
Buenos Aires,Belgrano 249 esquina Winter
Buenos Aires,General Paz 13
Córdoba,San Martin 1022
Córdoba,ALMA FUERTE 1425
Córdoba,Sobremonte 356
Córdoba,Marcelo T. de Alvear 95
Córdoba,Buteler 1289
Córdoba,LA RIOJA 549
Córdoba,RIVADAVIA 77
Córdoba,San Juan 1374
Córdoba,Juramento 51
Córdoba,BULEVAR SARMIENTO 1664
Córdoba,CORRIENTES 1091
Córdoba,Entre Rios 249
Córdoba,San Pedro 309
Córdoba,General Roca 1625
Córdoba,Ruta Provincial  C 45 km 10
Córdoba,Av. Chacabuco 329
Córdoba,Rivadavia 767
Córdoba,Rodriguez Peña 3250
Córdoba,SAN MARTIN 88
La Rioja,9 de Julio y Sarmiento 
La Rioja,P.G. Longueville y Castro Barros
La Rioja,Av. Rivadavia 270
La Rioja,Av. Bicentenario e/ Horacio Guerrero y Chacho Peñaloza
La Rioja,Pelagio Luna 699
La Rioja,Av. Ortiz de Ocampo 1310
La Rioja,SAN NICOLAS DE BARI 16
La Rioja,SAN NICOLAS DE BARI 402
La Rioja,San Martin 78
Catamarca,Calle Maximo Smitch S/N
Catamarca,Coronel Daza 69
La Rioja,9 de Julio y San Martin 
Catamarca,Juan Domingo Peron 475 
La Rioja,25 de Mayo 233
La Rioja,Av. Perón e/Chacho Peñalosa y Honorato)
San Juan,Roger Balet 47
